"Employee Number","Last Name","First Name","Birthday","Address","Phone Number","SSS Number","Philhealth Number","TIN Number","Pag-ibig Number","Status","Position","Immediate Supervisor","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate"
"11","Salcedo","Anthony","9/14/1993","93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate","070-766-300","26-9647608-3","1.26445E+11","210-805-911-000","2.18002E+11","Regular","Payroll Manager","x","50825","1500","1000","1000","25413","302.53"
"12","Lopez","Josie ","1/14/1987","49 Springs Apt. 266, Poblacion Taguig 3200 Occidental Mindoro","478-355-427","44-8563448-3","4.31709E+11","218-489-737-000","1.13071E+11","Regular","Payroll Team Leader","x","38475","1500","800","800","19238","229.02"
"13","Farala","Martha","1/11/1942","42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte ","329-034-366","45-5656375-0","2.33694E+11","210-835-851-000","6.3113E+11","Regular","Payroll Rank and File","x","24000","1500","500","500","12000","142.86"
"14","Martinez","Leila","7/11/1970","37/46 Kulas Roads Maragondon 0962 Quirino ","877-110-749","27-2090996-4","5.15741E+11","275-792-513-000","1.01205E+11","Regular","Payroll Rank and File","x","24000","1500","500","500","12000","142.86"
"15","Romualdez","Fredrick ","3/10/1985","22A/52 Lubowitz Meadows Pililla 4895 Zambales","023-079-009","26-8768374-1","3.08367E+11","598-065-761-000","2.23058E+11","Regular","Account Manager","x","53500","1500","1000","1000","26750","318.45"
"16","Mata","Christian","10/21/1987","90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu ","783-776-744","49-2959312-6","8.24188E+11","103-100-522-000","6.31053E+11","Regular","Account Team Leader","x","42975","1500","800","800","21488","255.8"
"17","De Leon","Selena ","2/20/1975","89A Armstrong Trace Compostela 7874 Maguindanao","975-432-139","27-2090208-8","5.87272E+11","482-259-498-000","7.19008E+11","Regular","Account Team Leader","x","41850","1500","800","800","20925","249.11"
"18","San Jose","Allison ","6/24/1986","08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union","179-075-129","45-3251383-0","7.45148E+11","121-203-336-000","1.14902E+11","Regular","Account Rank and File","x","22500","1500","500","500","11250","133.93"
"19","Rosario","Cydney ","10/6/1996","93A/21 Berge Points Tapaz 2180 Quezon","868-819-912","49-1629900-2","5.79253E+11","122-244-511-000","2.65104E+11","Regular","Account Rank and File","x","22500","1500","500","500","11250","133.93"
"20","Bautista","Mark ","2/12/1991","65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino","683-725-348","49-1647342-5","3.99665E+11","273-970-941-000","2.60055E+11","Regular","Account Rank and File","x","23250","1500","500","500","11625","138.39"
"21","Lazaro","Darlene ","11/25/1985","47A/94 Larkin Plaza Apt. 179 Poblacion Caloocan 2751 Quirino","740-721-558","45-5617168-2","6.06387E+11","354-650-951-000","1.04908E+11","Probationary","Account Rank and File","x","23250","1500","500","500","11625","138.39"
"22","Delos Santos","Kolby ","2/26/1980","06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur","739-443-033","52-0109570-6","3.57451E+11","187-500-345-000","1.13018E+11","Probationary","Account Rank and File","x","24000","1500","500","500","12000","142.86"
"23","Santos","Vella ","12/31/1983","99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur","955-879-269","52-9883524-3","5.4867E+11","101-558-994-000","3.60028E+11","Probationary","Account Rank and File","x","22500","1500","500","500","11250","133.93"
"24","Del Rosario","Tomas","12/18/1978","80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque","882-550-989","45-5866331-6","9.53902E+11","560-735-732-000","9.13109E+11","Probationary","Account Rank and File","x","22500","1500","500","500","11250","133.93"
"25","Tolentino","Jacklyn ","5/19/1984","96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao","675-757-366","47-1692793-0","7.53801E+11","841-177-857-000","2.10547E+11","Probationary","Account Rank and File","x","24000","1500","500","500","12000","142.86"
"27","Manalaysay","Garfield ","8/28/1986","60 Goyette Valley Suite 219 Poblacion Tabuk 3159 Lanao del Sur","948-628-136","45-3298166-4","8.10909E+11","336-676-445-000","2.11274E+11","Probationary","Account Rank and File","x","24750","1500","500","500","12375","147.32"
"54","Santos","Beatriz"
"57","test1","test1"
"60","test3","test3"
